"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","237.36364020705798","49.405670386079066","4.721910266836261","-0.31197865973435573","0.031494140625","0.0166015625","0.04638671875","1300","0.00046486157710481403","0","0.00046486157710481403","0.00046486157710481403","","","true"
"1","56.79025215873927","213.31167578603902","4.815118292470046","-0.3097440319777085","0.023193359375","0.02490234375","0.021484375","1300","0.0002986447967331121","0","0.0002986447967331121","0.0002986447967331121","1_0:0.014368331018477953","1_0:660","true"
"2","332.8300570071038","344.8197895856224","4.609654825660518","-0.3090875180776862","0.012939453125","0.015625","0.01025390625","1300","0.00011185843129314542","0","0.00011185843129314542","0.00011185843129314542","2_1:0.009824192148655653","2_1:660","true"
"3","90.05618375191841","22.405328884167936","4.875540360464372","-0.30968652168552707","0.02001953125","0.013671875","0.0263671875","1300","0.0006017663639261016","0","0.0006017663639261016","0.0006017663639261016","3_2:0.0325190731775587","3_2:660","true"
"4","244.53898389543815","209.83876328189004","4.818185826995244","-0.3103713081153928","0.04248046875","0.04541015625","0.03955078125","1300","0.00015896420652125376","0","0.00015896420652125376","0.00015896420652125376","4_15:0.01879114457444614;4_3:0.011347342619627554;4_5:0.004239781811380572","4_15:660;4_3:660;4_5:660","true"
"5","386.54488154806063","342.2349855261074","4.73412909398831","-0.3114518235315779","0.00927734375","0.01123046875","0.00732421875","1300","0.0001473831452253353","0","0.0001473831452253353","0.0001473831452253353","","","true"
"6","350.66481701470684","89.26539893604524","4.876260174498752","-0.30918835047116894","0.015380859375","0.0048828125","0.02587890625","1300","0.00018728049884520796","0","0.00018728049884520796","0.00018728049884520796","6_5:0.0059011632918269386;6_7:0.008014653597151311","6_5:660;6_7:660","true"
"7","299.14038154742366","265.52714449522546","4.96750424195932","-0.30745739300983294","0.012939453125","0.0087890625","0.01708984375","1300","0.00016771690355167065","0","0.00016771690355167065","0.00016771690355167065","7_8:0.006139585796997027","7_8:660","true"
"8","310.72022266583144","246.22574913206907","4.902442888933418","-0.30837827664687645","0.01123046875","0.01318359375","0.00927734375","1300","0.00027951892054468033","0","0.00027951892054468033","0.00027951892054468033","8_9:0.01114549637071377","8_9:660","true"
"9","376.98779563671735","83.64739518540273","4.98723505372014","-0.3080310587566364","0.01171875","0.00634765625","0.01708984375","1300","0.00025502254792571114","0","0.00025502254792571114","0.00025502254792571114","","","true"
"10","195.86916684304236","169.46839234920682","4.831536385020998","-0.3097434424405673","0.01171875","0.01025390625","0.01318359375","1300","0.00016938868375581165","0","0.00016938868375581165","0.00016938868375581165","10_9:0.007061983334398336;10_11:0.006016444581249114","10_9:660;10_11:660","true"
"11","349.6478077070049","295.19645556345625","4.972390741749951","-0.307214316560019","0.0361328125","0.02392578125","0.04833984375","1300","0.00012289514151530103","0","0.00012289514151530103","0.00012289514151530103","11_12:0.014144338552780078","11_12:660","true"
"12","311.66429418318353","114.13343989764356","4.9363171961603465","-0.3079608272575031","0.0205078125","0.01220703125","0.02880859375","1300","0.0008013080229172362","0","0.0008013080229172362","0.0008013080229172362","12_17:0.008975435864602366","12_17:660","true"
"13","339.09219428016405","88.64551981567988","5.005805620097516","-0.3067650398842775","0.015625","0.0078125","0.0234375","1300","0.00026451758535474994","0","0.00026451758535474994","0.00026451758535474994","13_12:0.015738536165369077","13_12:660","true"
"14","267.27599138033287","98.30277091588813","4.903347712188609","-0.308419961199297","0.015869140625","0.013671875","0.01806640625","1300","0.0002843302397350082","0","0.0002843302397350082","0.0002843302397350082","14_0:0.008268707221964933;14_18:0.0064359755723629175","14_0:660;14_18:660","true"
"15","159.22419600770866","29.243498273014794","4.947919340497961","-0.308052427832017","0.023681640625","0.03125","0.01611328125","1300","0.0009716006986805588","0","0.0009716006986805588","0.0009716006986805588","15_22:0.030477538581113295","15_22:660","true"
"16","190.10949176698415","17.181993645737244","4.960343904521057","-0.3076594514774509","0.0185546875","0.0146484375","0.0224609375","1300","0.0002552529162467407","0","0.0002552529162467407","0.0002552529162467407","16_8:0.008185941371807282;16_26:0.006134389055326317","16_8:660;16_26:660","true"
"17","231.4041327222127","166.22731809864285","4.82081259043805","-0.30970435909943395","0.01318359375","0.00732421875","0.01904296875","1300","0.00019032618492936627","0","0.00019032618492936627","0.00019032618492936627","17_30:0.007497400475986515","17_30:660","true"
"18","360.8299907620389","120.14567062036753","4.788136263694171","-0.31063598977187784","0.00927734375","0.00927734375","0.00927734375","1300","0.00013023260196218592","0","0.00013023260196218592","0.00013023260196218592","18_19:0.0058116794498940805","18_19:660","true"
"19","474.0370611655132","148.17119761558686","4.747120098600688","-0.31072395279331844","0.0087890625","0.01318359375","0.00439453125","1300","0.0001592480379675005","0","0.0001592480379675005","0.0001592480379675005","","","true"
"20","416.3706716912136","168.42750463344467","4.862343699999569","-0.3090978906556921","0.024658203125","0.00634765625","0.04296875","1300","0.0001267231769360077","0","0.0001267231769360077","0.0001267231769360077","20_33:0.030345605429073386;20_19:0.006573043600850148","20_33:660;20_19:660","true"
"21","260.24812576648685","95.58594728187886","4.9664954689540295","-0.30694839478531033","0.012451171875","0.01318359375","0.01171875","1300","0.00018024652781551564","0","0.00018024652781551564","0.00018024652781551564","21_20:0.004721739548224468;21_22:0.030635788799804886","21_20:660;21_22:660","true"
"22","228.1819392298821","187.60573632376565","5.03820860857476","-0.3065535436677073","0.01123046875","0.0166015625","0.005859375","1300","0.0011862999878617792","0","0.0011862999878617792","0.0011862999878617792","22_23:0.01207601420326726","22_23:660","true"
"23","259.6118217424173","107.00037404170847","4.844967105192699","-0.309395699354676","0.01123046875","0.013671875","0.0087890625","1300","0.0001808240257407689","0","0.0001808240257407689","0.0001808240257407689","","","true"
"24","230.84873319825118","119.6171321492539","5.100786806301812","-0.3054983979252499","0.145751953125","0.01416015625","0.27734375","1300","0.0004682905893973456","0","0.0004682905893973456","0.0004682905893973456","24_23:0.005974556533088371;24_34:1","24_23:660;24_34:660","true"
"25","261.90874953349913","148.82842814858415","4.945226426294734","-0.3084275156167526","0.0185546875","0.013671875","0.0234375","1300","0.00020734100119366669","0","0.00020734100119366669","0.00020734100119366669","25_24:0.0055380728714962135","25_24:660","true"
